name,inventory_type,extant_status,street_address,neighborhood,city,postal_code,explore_url,wikipedia_url,explore_id,identifier:mihp,building_use,associated_people,associated_organizations,full_description,year_built,chap_district,city_council_district,latitude,longitude,stabilization_potential,at_risk,featured-context,year_nonextant,year_start_significance,year_end_significance,property_type,related_context,related_theme,alternate_name,marker-color,marker-symbol,featured_description,description_source,description_status,state,geo_accuracy,marker-size,related_sources,chap_landmark,nr_district_contributing,nr_district,nr_landmark,image_url_manual,image_caption,image_credit,tags,streetview_url,streetname,possible_duplicate,explore_todo,Record Created
Lee-Jackson Monument,monument,Extant,Art Museum Drive,Johns Hopkins Homewood,Baltimore,,,https://en.wikipedia.org/wiki/Stonewall_Jackson_and_Robert_E._Lee_Monument,,,,,,,1948,,14,39.32431174,-76.61983520,,,,,,,,,,,,monument,,,,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.32431174,-76.6198352",,,,7/20/2017 12:48pm
Lillie Mae Carroll Jackson House,building,Extant,1320 Eutaw Place,Madison Park,Baltimore,21217,https://explore.baltimoreheritage.org/items/show/518,,518,B-853,Dwelling,Lillie Mae Carroll Jackson,,"From 1935 until her retirement in 1970, Lillie Mae Carroll Jackson was president of the Baltimore chapter of the NAACP and for much of this time her home on Eutaw Place was a hub of civil rights organizing and activism. Jackson, known as the mother of the civil rights movement, rose to become a national leader in the movement: she sponsored the “Buy Where You Can Work” campaign to promote integrated businesses and boycott segregated ones (1931); she launched Baltimore’s NAACP branch (1935); she began a movement to register black voters and shift in city politics (1942); and she was central to Baltimore’s integration after the landmark Brown v. Board of Education decision (1954).",c. 1870,Bolton Hill,11,39.30427095,-76.62707246,,,,,,,Prominent Person,"1929-1954,1954-1968,1968-1976","Education,Public Accommodation,Criminal Injustice,Housing,Voting,Employment",,d63b0e,building,,Maryland Inventory of Historic Places,draft,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.30427095,-76.6270724628599",,,,7/20/2017 12:48pm
Little Montgomery Street Historic District,district,Extant,Leadenhall Street and W. Montgomery Street,Otterbein,Baltimore,21230,,,,B-1400,District,,,,,,11,39.27999600,-76.61641900,,,,,,,,,Housing,,d63b0e,town,,Maryland Inventory of Historic Places,missing,MD,residential,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.279996,-76.616419",,,,7/20/2017 12:48pm
Little Willie's Tavern,building,Nonextant,2340 Druid Hill Avenue,Penn North,Baltimore,21217,,,,,,,,This building was demolished on 2017 February 16-17.,,,7,39.31136900,-76.64173770,,,,,,,,,,,,,,,,MD,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.311369,-76.6417377",Druid Hill,,,7/20/2017 12:48pm
Lord Baltimore Hotel,building,Extant,20 W. Baltimore Street,Downtown,Baltimore,21201,,https://en.wikipedia.org/wiki/Lord_Baltimore_Hotel,,B-3720,Hotel,,,"Students at Johns Hopkins University organized to move an important annual event away from the hotel in protest of their discriminatory policies. Later, Martin Luther King, Jr. stayed at the hotel for a SCLC meeting and held a press conference.",,,11,39.28978000,-76.61611000,,,,,,,Conflict Center,,,,d63b0e,lodging,,Maryland Inventory of Historic Places,notes,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.28978,-76.61611",,,,7/20/2017 12:48pm
Loreley,district,Unknown,,,Baltimore County,,,,,,,,,"This neighborhood, settled in the 1870s, is centered on the Asbury Methodist Church and the Loreley School, both on Philadelphia Road.",,,,39.40095100,-76.39248800,,,,,,,,,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/loreley.jpg,Asbury Methodist Church. E.H.T. Traceries for the Baltimore County Planning Commission.,E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.400951,-76.392488",,,,7/20/2017 12:48pm
Loudon Park Cemetery Monument,monument,Extant,,Irvington,,,,,,,,,,There are multiple Confederate associated monuments in Loudon Park Cemetery but the location and name need to be updated. ,,,8,39.27716496,-76.67633057,,,,,,,,,,,,monument,,,,,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.27716496,-76.67633057",,,,7/20/2017 12:48pm
Low-income Housing on 1300 block of Madison Avenue,building,Extant,1300 Madison Avenue,Madison Park,Baltimore,21217,,,,,Housing,,,"The Reverend Bascom, pastor of Douglass Memorial Community Church, purchased the entire 1300 block of Madison Avenue with church funds, renovated the buildings, and converted them to low-income housing. This development reflects the transition of the Civil Rights movement towards a renewed focus on community and economic development in the 1960s and 1970s.",,,11,39.30309065,-76.62800911,,,,,,,,1968-1976,,,d63b0e,building,,davidmilobsky_power_1994,excerpt,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.30309065,-76.6280091146824",Madison,,,7/20/2017 12:48pm
Lutherville,district,Unknown,,,Baltimore County,,,,,,,,,"Lutherville became the first incorporated town in Baltimore County, in 1868. Edgewood United Methodist Church was built in 1870. In 1909, Colored School Number 24 opened. It is the second oldest African American schoolhouse in the county.",,,,39.42107700,-76.62818000,,,,,,,,,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/lutherville.jpg,Two houses in the Luthervile Historic Survey District.,E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.421077,-76.62818",,,,7/20/2017 12:48pm
Lyric Opera House (Modell Performing Arts Center),building,Extant,140 W. Mt. Royal Avenue,Mid-Town Belvedere,Baltimore,21201,,https://en.wikipedia.org/wiki/Modell_Performing_Arts_Center,,,Theatre,,National Association for the Advancement of Colored People,"In 1953, the Lyric Theater denied singer Marian Anderson permission to perform at the concert hall. After hundreds of individuals contacted the theatre and wrote letter in protest, the Maryland Commission on Interracial Relations persuaded the Lyric’s owners to let Anderson perform on January 8, 1954.",,,11,39.30597605,-76.61820076,,,,,,,Conflict Center,1929-1954,Public Accommodation,,d63b0e,theatre,,,draft,MD,theatre,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.30597605,-76.6182007640943",,,,7/20/2017 12:48pm
Macedonia Baptist Church,building,Extant,718 W. Lafayette Avenue,Upton,Baltimore,21217,,,,,Religious building,,,,,,11,39.29937188,-76.63431788,,,,,,,Strategy Center,,,,d63b0e,religious-christian,,,missing,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.2993718780488,-76.6343178780488",,,,7/20/2017 12:48pm
Madison Park,district,Extant,,Madison Park,Baltimore,,,,,,Neighborhood,,,,,,11,39.30571700,-76.63044100,,,,,,,,"1905-1929,1929-1954,1954-1968,1968-1976",Housing,,d63b0e,town,,,missing,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.305717,-76.630441",,,,7/20/2017 12:48pm
Madison Street Presbyterian Church,building,Nonextant,Madison Street,Mount Vernon,Baltimore,,,,,,,,,"In 1880, a group of black residents and church leaders met at the Madison Street Presbyterian Church to organize a ""petition very numerously signed by colored citizens, with some white signers, asking that colored teachers be elected in the colored public schools"" that they then presented to the Baltimore City School Board. ",,Mount Vernon,11,39.29742700,-76.61915700,,,,?,,,,1870-1905,,,f59477,religious-christian,,,notes,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.297427,-76.619157",,,,7/20/2017 12:48pm
Marse S. Callaway Residence,building,Extant,2016 Madison Avenue,Druid Heights,Baltimore,21217,,,,,Dwelling,Marse Callaway,,,,,,39.30885300,-76.63669970,,,,,,,,,,,,,,,,MD,,,,,,,,,,,,,,,,7/20/2017 12:48pm
Marshall Family House,building,Nonextant,1838 Druid Hill Avenue,Druid Heights,Baltimore,21217,,,,B-53,Dwelling,Thurgood Marshall,,,,,11,39.30645350,-76.63437430,,,,,,,,1905-1929,,,f59477,building,,Maryland Inventory of Historic Places,missing,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3064535,-76.6343743",Druid Hill,,,7/20/2017 12:48pm
Mary Rosemond Residence,building,Extant,1422 N. Rosedale Street,Rosemont,Baltimore,21216,,,,,Dwelling,Mary Rosemond,,"Residence of Mary Rosemond, a long-time activist and community leader in Greater Rosemont noted for her involvement with the Movement Against Destruction fighting the development of the East-West Expressway project through the neighborhood.",,,9,39.30433395,-76.66931034,,,,,,,Prominent Person,,Housing,,d63b0e,building,,,draft,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.30433395,-76.6693103420966",,,,7/20/2017 12:48pm
Maryland Historical Society,building,Extant,,Mount Vernon,,,,https://en.wikipedia.org/wiki/Maryland_Historical_Society,,,,,,,,Mount Vernon,11,39.29704458,-76.61871135,,,,,,,,,,,,museum,,,,,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.29704458,-76.61871135",,,,7/20/2017 12:48pm
Maryland Penitentiary,building,Partial,954 Forrest Street,Penn-Fallsway,Baltimore,21202,,,,,,,,The Maryland Penitentiary was established on an site adjacent to the Baltimore Jail on Forrest Street in 1811.,,,12,39.29934000,-76.60709200,,,,,,,,"1870-1905,1905-1929,1929-1954,1954-1968,1968-1976",Criminal Injustice,,d63b0e,prison,,,notes,MD,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.29934,-76.607092",,,,7/20/2017 12:48pm
Maryland School for the Colored Blind and Deaf Mutes,building,Nonextant,649 W. Saratoga Street,University Of Maryland,Baltimore,21201,,,,,Institutional dwelling,,,,,,11,39.29271502,-76.62547069,,,,,,,,,Education,,f59477,school,,,missing,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.2927150222372,-76.6254706933525",,,,7/20/2017 12:48pm
Masjid Ul Haqq,building,Extant,514 Wilson Street,Upton,Baltimore,21217,,,,,Religious building,,,"Previously known as Mosque Six, Masjid Al Haqq was established in Baltimore in 1956 as the first Baltimore mosque of the Nation of Islam (NOI).",,,11,39.30495930,-76.63293610,,,,,1956,,,1954-1968,,,d63b0e,religious-muslim,,,notes,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3049593,-76.6329361",,,,7/20/2017 12:48pm
Mason A. Hawkins Residence,building,Extant,1532 Druid Hill Avenue,Upton,Baltimore,21217,,,,,Dwelling,Mason A. Hawkins,,,,,11,39.30414120,-76.63143730,,,,,,,Prominent Person,,,,d63b0e,building,,,missing,MD,house,medium,Coleman Directories,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3041412,-76.6314373",Druid Hill,,,7/20/2017 12:48pm
McCrory’s Building,building,Extant,227-229 W. Lexington Street,Downtown,Baltimore,,,,,,Commercial building,,,"McCrory’s opened on Lexington Street in the 1920s and was part of a chain of five-a-dime stores that had around 1300 locations in 1950s. In the early 1950s, local activists from the Committee On Racial Equality (CORE), the Urban League, and the Americans for Democratic Action (ADA) started a campaign against segregated lunch counters on the 200 block of West Lexington Street leading this business to begin serving black customers by November 1953.",,,11,39.29193000,-76.61916000,,,,,,,,1954-1968,Public Accommodation,,d63b0e,clothing-store,,,draft,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.29193,-76.61916",,,,7/20/2017 12:48pm
MeDoSo Clubhouse,building,Extant,1800 Eutaw Place,,Baltimore,21217,,,,,,Dr. John E.T. Camper,,"""On January 9, 1954, the MeDeSo gathered to record what was to become one of the most important chapters in the annals of civil rights history. That chilly evening, the doctors made their way from various parts of Baltimore to the MeDeSo clubhouse at 1800 Eutaw Place."" via A Doctor's Legacy, Jonathan D. Cahn",,,,39.30765600,-76.63355070,,,,,,,,,,,,,,,,MD,,,,,,,,,,,,,,,,7/20/2017 12:48pm
Melvin H. Cade National Guard Armory,building,Extant,2620 Winchester Street,Bridgeview/Greenlawn,Baltimore,21216,,,,,,,,"The Melvin Cade National Guard Armory moved to its current location at 2620 Winchester Street in 1960. The new building immediately became a civic and social center for West Baltimore, hosting dance parties, lectures, and neighborhood meetings throughout the 1960s and 1970s. After the death of Melvin H. Cade, commanding officer of the 229th Battalion of the Maryland National Guard, in 1964, the Guard renamed the building in his honor. Baltimore City listed the Armory on its historic landmark list in 2009. It is one of the few examples of a national guard facility built for a segregated black unit.",1960,,9,39.30212675,-76.65977624,,,,,,,Conflict Center,"1954-1968,1968-1976",Employment,,d63b0e,embassy,,,draft,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.30212675,-76.6597762377151",,,,7/20/2017 12:48pm
Mercy Hospital Rowhouse,building,Nonextant,345 Saint Paul Place,Downtown,Baltimore,21202,,,,B-2206,School,,,,,,11,39.29429300,-76.61377500,,,,,,,,,Education,Male Colored School No. 1; St. Francis Xavier's Boys School,f59477,building,,Maryland Inventory of Historic Places,missing,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.294293,-76.613775",,,,7/20/2017 12:48pm
Mergenthaler High School,building,Extant,3500 Hillen Road,Ednor Gardens-Lakeside,Baltimore,21218,,,,,,,,"In 1954, 1000 students participated in a protest against school integration with a march from Mergenthaler High School at Hillen Road and 36th Street to City Hall. When the group arrived at War Memorial Plaza, where they dispersed on threat of arrest by a group of 600 police officers.",,,14,39.33255700,-76.59103600,,,,,1954,,,1954-1968,Education,,d63b0e,school,,,,MD,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.332557,-76.591036",,,,7/20/2017 12:48pm
Merriweather Post Pavilion,building,Extant,10475 Little Patuxent Parkway,,Columbia,21044,,https://en.wikipedia.org/wiki/Merriweather_Post_Pavilion,,,,,,"On June 27, 1968, segregationist presidential candidate George Wallace held a rally at the Merriweather Post Pavilion in Columbia, Maryland attended by 7500 people. The rally had originally been planned for Baltimore City but was relocated after the Baltimore police objected due to concerns over public safety.",,,,39.17113900,-76.78868600,,,,,1968,,,1954-1968,Public Accommodation,,d63b0e,theatre,,,notes,MD,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.171139,-76.788686",,,,7/20/2017 12:48pm
Miller Brothers Restaurant,building,Nonextant,119 W. Fayette Street,Downtown,Baltimore,21201,,,,,Restaurant,,,The Miller Brothers Restaurant was the site of notable protests in the 1960s.,,,11,39.29193000,-76.61916000,,,,,,,Conflict Center,,Public Accommodation,,f59477,restaurant,,,notes,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.29193,-76.61916",,,,7/20/2017 12:48pm
Mitchell Family Law Office,building,Extant,1239 Druid Hill Avenue,Upton,Baltimore,21217,https://explore.baltimoreheritage.org/items/show/526,,526,,,,,"This property is the former location of law offices for Juanita Jackson Mitchell, Clarence Mitchell and other members of the Mitchell family. It also served as the campaign headquarters for former Maryland state Senator Kiefer Mitchell’s bid for mayor. The roof of this building collapsed during the winter of 2014 and the building is severely threatened by neglect.",,,11,39.30206500,-76.62825300,checked,checked,,,,,,,,,d63b0e,building,,Email from Marti Petrelli,,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.302065,-76.628253",Druid Hill,,,7/20/2017 12:48pm
Monkton School,building,Unknown,,,Baltimore County,,,,,,,,,"The Monkton School was built in 1873. It was sold to the Monkton Methodist Episcopal Church in 1936, who in turn sold it later to the Isaiah Baptist Church.",,,,39.57728000,-76.61346000,,,,,,,,,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/monktonschool.jpg,Monkton School.,E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.57728,-76.61346",,,,7/20/2017 12:48pm
Morgan Park,landscape,Extant,,Morgan Park,Baltimore,,,,,,Neighborhood,,,,1917,,3,39.34552000,-76.57844300,,,1905-1929,,,,,1905-1929,Housing,,d63b0e,town,,,missing,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.34552,-76.578443",,,,7/20/2017 12:48pm
Morgan State University Chapel,building,Extant,1700 E. Cold Spring Lane,Morgan State University,Baltimore,21251,https://explore.baltimoreheritage.org/items/show/482,,482,,Religious building,,,"In 1939, the trustees of Morgan College decided to sell the institution to the State of Maryland. The proceeds from that transaction were earmarked for the construction of a center for religious activities, the Morgan Christian Center (now Morgan State University Chapel), a parsonage, and an endowment. In August 2009, the Morgan Christian Center trustees deeded the property to Morgan State University and the Center was renamed the Morgan State University Memorial Chapel, to reflect the diverse religious landscape on campus. The building was designed by Towson-born African American architect Alfred Irvin Cassell who designed a number of buildings on the Morgan State campus. Beginning in 1944, the director of the Morgan Christian Center was Rev. Howard L. Cornish—a 1927 graduate of Morgan State and math professor. Up until his retirement, Cornish lived in the parsonage and his home was known as a center of Civil Rights activities involving Morgan students, clergy and activists from throughout the Baltimore community.",1939,,3,39.34538000,-76.58099900,,,1954-1968,,1944,,Strategy Center,1954-1968,Education,,d63b0e,religious-christian,,,draft,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.34538,-76.580999",,,,7/20/2017 12:48pm
Morris Goldseker Company (office),building,Nonextant,Mulberry Street (or Franklin Street),Downtown,Baltimore,,,,,,,,,"During the summer of 1969, The Activists and their community association partners protested speculation in racially transitioning neighborhoods by picketing the Mulberry Street office of the Morris Goldseker Company, shouting ""Stop the exploting!"" The protests launched a three-year campaign focused on the Goldsker Company as the symbolic center of the issue.",,,11,39.29403000,-76.61826200,,,,,1969,,,"1954-1968,1968-1976",Housing,,f59477,suitcase,,orser_blockbusting_1994,draft,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.29403,-76.618262",,,,7/20/2017 12:48pm
Morris Soper Residence,building,Extant,102 W. 39th Street,Tuscany-Canterbury,Baltimore,21210,,,,,Dwelling,Judge Morris Ames Soper,,"The former residence of Judge Morris Soper. Morris Ames Soper’s (1873-1963) judicial service spanned more than a half-century. In 1898 Soper was appointed Assistant State’s Attorney for Baltimore City and was promoted to Assistant United States Attorney for the State of Maryland in 1900. In 1923 President Harding appointed Soper to the Federal bench where he served as a District Judge, and by 1931 President Hoover had elevated him to the United States Circuit Court of Appeals representing Virginia, West Virginia, North Carolina, South Carolina, and Maryland in the Fourth Circuit. Most notably, Soper worked towards full equality for African-Americans. He viewed equality as “not only a matter of law, but a matter of conscience.” As early as 1937, Soper—from his position as Chairman of the State Commission on Higher Education for Negroes—was urging the Maryland legislature to admit African-Americans to the University of Maryland graduate departments. National attention was focused on Soper when he decided many of the early school desegregation cases that reached the Federal Courts in the wake of Brown vs the Board of Education in 1954. In 1955 Soper handed down the decision that required the University of North Carolina to admit three African-American students into its undergraduate college. The following year he wrote majority opinions on racial integration in Virginia public schools. Judge Soper served for over 30 years on the Board of Trustees at Morgan State College, and was chairman for much of the latter half of his tenure. He is credited as being instrumental in transforming the institution from a private college to a state supported institution.",,,14,39.33614661,-76.62093038,,,,,,,Prominent Person,,,,d63b0e,building,,marylandhistoricalsocietylibrary_morris,excerpt,MD,house,medium,Coleman Directories,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3361466055794,-76.6209303800429",,,,7/20/2017 12:48pm
Moses Hall,building,Unknown,608 N. Eutaw Street,Seton Hill,Baltimore,21201,,,,,Community building,,,,,Seton Hill,11,39.29598620,-76.62144802,,,,,,,Community Group,,Public Accommodation,Order of Moses,f7a38b,place-of-worship,,,missing,MD,house,medium,Coleman Directories,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.2959862040816,-76.6214480204082",,,,7/20/2017 12:48pm
Mother Rescuers Office,building,Unknown,Gough Street and Broadway,Fells Point,Baltimore,,,,,,,,,Mother Rescuers was an activist organization addressing welfare rights and poverty which operated out of an office on Gough Street and Broadway.,,Fells Point,1,39.28762300,-76.59350600,,,,,,,,,Employment,,f7a38b,suitcase,,williams_were_2001,draft,MD,,medium,,,,,,,,,Confederate memory,"https://maps.google.com/?layer=c&cbll=39.287623,-76.593506",,,,7/20/2017 12:48pm
Mount Auburn Cemetery,landscape,Extant,2614 Annapolis Road,Westport,Baltimore,21230,https://explore.baltimoreheritage.org/items/show/481,"https://en.wikipedia.org/wiki/Mount_Auburn_Cemetery_(Baltimore,_Maryland)",481,,Cemetery,,,,1872,,10,39.25784010,-76.63729500,,,1870-1905,,,,,1870-1905,Public Accommodation,,d63b0e,cemetery,,,missing,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.2578401,-76.637295",,,,7/20/2017 12:48pm
Mt. Lebanon Baptist Church,building,Extant,2812 Reisterstown Road,Liberty Square,Baltimore,21215,,,,,Religious building,,,"In 1943, several Baltimore ministers worked closely with Lillie Mae Carroll Jackson and Juanita Jackson in a NAACP voter registration campaign. Rev. John L. Tilley, New Metropolitan Baptist Church was chairman of the registration committee with key support from the Reverend Vernon S. Dobson of St. Marks Baptist Church and the Reverend Hiram E. Smith of Mt. Lebanon Baptist Church. Reisterstown Road may not be the location of the church in 1943.",,,7,39.32040345,-76.65446388,,,,,,,Strategy Center,,,,d63b0e,religious-christian,,davidmilobsky_power_1994,draft,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.32040345,-76.6544638796242",,,,7/20/2017 12:48pm
N.A.A.C.P. Baltimore Office,building,Nonextant,402 Dolphin Street,Upton,Baltimore,21217,,,,,Office building,,,,,,11,39.30174763,-76.62701710,,,,,,,,"1905-1929,1929-1954",,,f59477,suitcase,,,missing,MD,house,medium,Coleman Directories,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3017476303828,-76.6270170993487",,,,7/20/2017 12:48pm
National Great Blacks and Wax Museum,building,Extant,1601 E. North Avenue,Oliver,Baltimore,21213,,https://en.wikipedia.org/wiki/National_Great_Blacks_In_Wax_Museum,,,Museum,,,,,,12,39.31181140,-76.59685276,,,,,,,,,,,d63b0e,museum,,,missing,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3118114,-76.5968527557403",,,,7/20/2017 12:48pm
Nazarites Hall,building,Unknown,534-536 N. Calvert Street,Mount Vernon,Baltimore,21202,,,,,,,,Approximate location of the 4-story lodge building for the Nazarites (erected in 1891) at 534-536 N. Calvert Street.,1891,,11,39.29553346,-76.61262274,,,,,,,,"1870-1905,1905-1929",,,#7e7e7e,commercial,,,,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.29553346,-76.61262274",,,,7/20/2017 12:48pm
Negro Baseball League Boarding House,building,Extant,1908 Eutaw Place,Madison Park,Baltimore,21217,,,,,,,,"Long Term  Polling Location,Popular Boarding House for Negro Baseball League",,Bolton Hill,11,39.30862000,-76.63254000,,,,,,,,,"Voting,Public Accommodation",,,lodging,,Email from Donna Cypress,,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.30862,-76.63254",Eutaw,,,7/20/2017 12:48pm
Negro War Heroes Monument,monument,Extant,,Downtown,Baltimore,,,,,,Public artwork,,,,1972,,11,39.29097916,-76.60999417,,,1968-1976,,,,,1968-1976,,,d63b0e,monument,,,misssing,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.2909791563091,-76.6099941730499",,,,7/20/2017 12:48pm
New Hope Baptist Church/The Baltimore Academy,building,Extant,850 Harlem Avenue,Upton,Baltimore,21201,,,,B-2975,Religious building,,,,c. 1898,,11,39.29707225,-76.63258741,,,,,,,,1870-1905,,,d63b0e,religious-christian,,Maryland Inventory of Historic Places,missing,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.29707225,-76.6325874125318",,,,7/20/2017 12:48pm
New Metropolitan Baptist Church,building,Extant,,Madison Park,Baltimore,,,,,,Religious building,,,"In 1943, several Baltimore ministers worked closely with Lillie Mae Carroll Jackson and Juanita Jackson in a NAACP voter registration campaign. Rev. John L. Tilley, New Metropolitan Baptist Church was chairman of the registration committee with key support from the Reverend Vernon S. Dobson of St. Marks Baptist Church and the Reverend Hiram E. Smith of Mt. Lebanon Baptist Church. In April 1958 the Southern Christian Leadership Conference (SCLC) asked John Lee Tilley, pastor of New Metropolitan Baptist Church in Baltimore, to become the organization’s first executive director.",,,11,39.30439400,-76.62969100,,,,,,,,1929-1954,,,d63b0e,religious-christian,,davidmilobsky_power_1994,draft,MD,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.304394,-76.629691",,,,7/20/2017 12:48pm
New Shiloh Baptist Church,building,Extant,729 N. Fremont Avenue,Upton,Baltimore,21217,,,,B-2971,Religious building,,,,,,11,39.29761715,-76.63336651,,,,,,,,,,Old First Lutheran Church,d63b0e,religious-christian,,Maryland Inventory of Historic Places,missing,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.29761715,-76.6333665128726",,,,7/20/2017 12:48pm
Norris Lane,district,Unknown,,,Baltimore County,,,,,,,,,"This community was developed in the 1930s for rental tenants, who were employed primarily in factories and on truck farms. The population at the time was about half African American.",,,,39.28282900,-76.49200900,,,,,,,,,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/norrislane.jpg,Representative homes in the Norris Lane Historic Survey District.,E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.282829,-76.492009",,,,7/20/2017 12:48pm
Northwestern District Police Station,building,Nonextant,Pennsylvania Avenue near Lanvale street,Upton,Baltimore,,,,,,,,,,,,11,39.30027900,-76.63059700,,,,,,,,,Criminal Injustice,,f7a38b,police,,,missing,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.300279,-76.630597",,,,7/20/2017 12:48pm
Northwood Shopping Center,building,Partial,1572 Havenwood Road,Hillen,Baltimore,21218,,,,,Commercial building,,"Civic Interest Group,Morgan State University",Students from Morgan State College and other student members of the Civic Interest Group organized protests at this location during their campaign to desegregate public accomodations at the Northwood Plaza shopping center.,,,3,39.34076215,-76.59197292,,,,,,,Conflict Center,1954-1968,Public Accommodation,,d63b0e,shop,,,notes,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3407621525316,-76.5919729156123",,,,7/20/2017 12:48pm
Northwood Theatre,building,Extant,1572 Havenwood Road,Hillen,Baltimore,21218,,,,,Theatre,,"Civic Interest Group,Morgan State University",Students from Morgan State College and other student members of the Civic Interest Group organized protests at this location during their campaign to desegregate public accomodations at the Northwood Plaza shopping center.,,,3,39.34076215,-76.59197292,,,,,,,Conflict Center,1954-1968,Public Accommodation,,d63b0e,theatre,,,notes,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3407621525316,-76.5919729156123",,,,7/20/2017 12:48pm
O'Donnell Heights,district,Partial,,O'Donnell Heights,Baltimore,,,,,,,,,"On December 26, 1966, a small group of representatives from the Maryland Klan, including Carroll, NSRP, FAN (Luthardt's Fighting American Nationalists), and the Ad Hoc Committee for Sound Government picketed the potential integration of a white public-housing complex, O'Donnell Heights, in southeast Baltimore.",,,1,39.27812200,-76.54159800,,,,,1966,,,1954-1968,Housing,,d63b0e,town,,"joseph_neighborhood_2010, p. 227",,MD,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.278122,-76.541598",,,,7/20/2017 12:48pm
Oblate Sisters of Providence,building,Nonextant,610 George Street,Heritage Crossing,Baltimore,21201,,,,,School,,,,,,11,39.29574909,-76.62955574,,,,,,,,,,,f59477,religious-christian,,,missing,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.2957490941885,-76.6295557391538",,,,7/20/2017 12:48pm
